Site,Latitude,Longitude,Time,Type,Protocol,Latency,Average Latency,Total Latency
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,HTTP,77.17280476150778,64.73,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,HTTPS,81.85067904055383,64.73,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,TCP,78.25544972665733,64.73,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,ICMP,58.130486261689896,64.73,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,TWAMP,62.739607441320715,64.73,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,UDP,30.24871390926701,64.73,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,HTTP,73.41940873666539,72.81,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,HTTPS,95.7933922427273,72.81,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,TCP,65.43296011768881,72.81,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,ICMP,90.49597098870828,72.81,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,TWAMP,49.63004219978145,72.81,68.77
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,UDP,62.10221204998886,72.81,68.77
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,HTTP,70.68204583965907,70.16,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,HTTPS,83.36652314320567,70.16,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,TCP,86.61993509348869,70.16,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,ICMP,86.35979164028998,70.16,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,TWAMP,72.42501070876051,70.16,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,UDP,21.527849310744642,70.16,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,HTTP,80.24724306648997,72.09,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,HTTPS,81.6674586294679,72.09,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,TCP,80.441779710064,72.09,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,ICMP,87.80717961987528,72.09,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,TWAMP,62.34846319513061,72.09,71.13
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,UDP,40.0175589697631,72.09,71.13
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,HTTP,80.81818703692936,67.52,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,HTTPS,94.78006896326465,67.52,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,TCP,61.965215329615106,67.52,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,ICMP,45.48151606819197,67.52,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,TWAMP,69.93842020313089,67.52,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,UDP,52.11669517983304,67.52,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,HTTP,65.40316568889642,69.0,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,HTTPS,94.71503662801567,69.0,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,TCP,63.52779063541167,69.0,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,ICMP,71.69752407727702,69.0,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,TWAMP,62.979304905338,69.0,68.26
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,UDP,55.688111972692965,69.0,68.26
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,HTTP,67.8651623351351,71.53,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,HTTPS,85.1096148919479,71.53,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,TCP,84.42818048266668,71.53,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,ICMP,60.01572414502587,71.53,67.24
