Site,Latitude,Longitude,Time,Type,Protocol,Latency,Average Latency,Total Latency,Forecast max,Forecast min,Confidence Level,Volatility,Packet loss,Application type
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,HTTP,73.09,62.88,62.08,77.53,69.75,99.01,0.78,0.0,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,HTTPS,95.12,62.88,62.08,100.67,89.98,96.78,0.35,0.0,Multimedia Streaming
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,TCP,68.13,62.88,62.08,71.59,65.36,95.66,0.83,0.04,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,ICMP,40.88,62.88,62.08,42.72,38.88,99.9,0.27,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,TWAMP,50.16,62.88,62.08,52.51,47.24,97.83,0.53,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,network,UDP,49.9,62.88,62.08,52.06,47.0,97.83,0.77,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,HTTP,81.07,61.28,62.08,85.39,76.77,98.21,0.82,0.0,Multimedia Streaming
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,HTTPS,72.29,61.28,62.08,75.2,68.8,97.48,0.88,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,TCP,84.47,61.28,62.08,88.53,79.93,96.37,0.5,0.02,Communication
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,ICMP,51.72,61.28,62.08,54.7,48.38,97.84,0.8,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,TWAMP,49.94,61.28,62.08,53.13,48.0,98.23,0.92,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 00:00:00,app,UDP,28.18,61.28,62.08,30.32,27.35,95.29,0.59,0.01,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,HTTP,68.66,62.32,65.05,71.62,65.12,97.86,0.86,0.0,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,HTTPS,89.64,62.32,65.05,94.12,85.7,98.6,0.02,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,TCP,68.06,62.32,65.05,72.1,64.08,97.56,0.7,0.02,Communication
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,ICMP,49.48,62.32,65.05,52.03,46.49,97.94,0.78,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,TWAMP,56.54,62.32,65.05,60.14,54.03,99.32,0.18,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,network,UDP,41.51,62.32,65.05,43.11,39.6,98.14,0.86,0.01,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,HTTP,68.89,67.78,65.05,71.8,64.85,97.49,0.1,0.01,Communication
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,HTTPS,71.94,67.78,65.05,75.33,67.91,98.96,0.88,0.0,Social Commerce
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,TCP,68.01,67.78,65.05,71.69,65.14,96.65,0.62,0.04,Communication
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,ICMP,64.48,67.78,65.05,67.65,61.48,96.66,0.8,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,TWAMP,71.22,67.78,65.05,74.01,67.8,96.29,0.65,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 00:00:00,app,UDP,62.16,67.78,65.05,65.28,58.67,97.6,0.51,0.0,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,HTTP,71.88,58.36,63.56,75.18,68.09,95.39,0.65,0.01,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,HTTPS,95.94,58.36,63.56,100.56,90.44,99.82,0.93,0.0,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,TCP,66.22,58.36,63.56,70.15,63.51,95.43,0.68,0.0,Communication
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,ICMP,41.64,58.36,63.56,43.47,40.07,98.58,0.4,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,TWAMP,46.98,58.36,63.56,48.78,45.21,99.91,0.53,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,network,UDP,27.48,58.36,63.56,28.96,25.73,95.86,0.28,0.0,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,HTTP,75.42,68.77,63.56,79.31,72.3,99.88,0.17,0.01,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,HTTPS,75.35,68.77,63.56,79.62,71.29,97.89,0.88,0.01,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,TCP,76.06,68.77,63.56,80.55,72.39,97.7,0.41,0.01,Communication
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,ICMP,61.72,68.77,63.56,65.12,58.03,95.22,0.85,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,TWAMP,67.3,68.77,63.56,70.89,63.63,95.98,0.67,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 00:00:00,app,UDP,56.79,68.77,63.56,58.97,53.5,97.25,0.31,0.01,Multimedia Streaming
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,HTTP,80.18,67.22,61.03,84.69,75.89,97.52,0.6,0.0,Social Commerce
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,HTTPS,81.95,67.22,61.03,85.81,78.12,96.03,0.69,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,TCP,81.81,67.22,61.03,85.56,77.65,95.85,0.75,0.05,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,ICMP,63.86,67.22,61.03,67.27,60.01,96.25,0.79,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,TWAMP,49.93,67.22,61.03,51.65,47.74,98.43,0.75,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,UDP,45.58,67.22,61.03,48.12,43.08,99.42,0.48,0.01,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,HTTP,65.97,54.84,61.03,69.36,62.98,97.72,0.96,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,HTTPS,88.21,54.84,61.03,91.96,83.49,99.18,0.56,0.01,Multimedia Streaming
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,TCP,55.31,54.84,61.03,58.64,51.94,95.32,0.03,0.02,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,ICMP,40.46,54.84,61.03,42.36,37.94,97.53,0.4,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,TWAMP,55.82,54.84,61.03,59.22,52.5,96.16,0.61,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,UDP,23.29,54.84,61.03,24.93,22.28,98.16,0.43,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,HTTP,72.12,67.75,67.29,75.14,68.41,95.7,0.34,0.01,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,HTTPS,94.49,67.75,67.29,98.81,90.43,96.46,0.88,0.01,Communication
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,TCP,84.17,67.75,67.29,88.96,80.03,95.91,0.86,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,ICMP,63.9,67.75,67.29,66.62,61.04,95.04,0.59,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,TWAMP,50.8,67.75,67.29,54.08,48.77,95.9,0.22,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,UDP,41.0,67.75,67.29,42.96,38.63,95.05,0.64,0.01,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,HTTP,71.79,66.83,67.29,75.17,67.91,97.63,0.94,0.01,Social Commerce
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,HTTPS,83.42,66.83,67.29,86.95,78.86,98.05,0.86,0.0,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,TCP,82.4,66.83,67.29,86.59,78.2,96.91,0.91,0.03,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,ICMP,44.34,66.83,67.29,47.27,42.13,96.2,0.75,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,TWAMP,56.16,66.83,67.29,59.22,53.48,99.81,0.07,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,UDP,62.89,66.83,67.29,66.42,59.69,97.56,0.38,0.01,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,HTTP,71.81,66.35,62.97,74.74,67.5,95.43,0.05,0.01,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,HTTPS,88.84,66.35,62.97,93.08,83.7,95.01,0.77,0.01,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,TCP,87.97,66.35,62.97,92.44,82.87,97.95,0.09,0.05,Communication
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,ICMP,38.63,66.35,62.97,41.33,37.39,96.81,0.15,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,TWAMP,55.2,66.35,62.97,57.85,52.49,96.93,0.01,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,UDP,55.65,66.35,62.97,58.78,53.61,99.39,0.09,0.01,Multimedia Streaming
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,HTTP,67.52,59.59,62.97,71.19,64.62,98.78,0.14,0.01,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,HTTPS,86.54,59.59,62.97,90.89,82.61,99.96,0.64,0.01,Communication
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,TCP,65.07,59.59,62.97,69.01,62.54,99.36,0.74,0.01,Communication
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,ICMP,42.36,59.59,62.97,44.59,40.75,98.07,0.66,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,TWAMP,73.0,59.59,62.97,77.03,68.69,97.18,0.5,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,UDP,23.03,59.59,62.97,24.15,22.58,98.26,0.12,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,HTTP,65.36,66.12,66.06,68.27,61.55,99.58,0.1,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,HTTPS,86.42,66.12,66.06,90.92,81.64,95.67,0.17,0.01,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,TCP,68.69,66.12,66.06,72.8,65.3,95.22,0.4,0.05,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,ICMP,64.15,66.12,66.06,68.13,61.62,99.32,0.56,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,TWAMP,57.78,66.12,66.06,59.97,54.73,96.86,0.67,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,UDP,54.34,66.12,66.06,57.77,51.57,98.22,0.2,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,HTTP,78.5,66.0,66.06,82.81,74.78,97.33,0.63,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,HTTPS,90.96,66.0,66.06,95.74,86.82,96.0,0.83,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,TCP,66.85,66.0,66.06,70.41,63.21,95.93,0.56,0.04,Communication
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,ICMP,48.12,66.0,66.06,50.82,45.74,99.39,0.45,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,TWAMP,71.22,66.0,66.06,75.26,67.52,95.67,0.86,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,UDP,40.38,66.0,66.06,41.99,37.85,95.38,0.14,0.0,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,HTTP,78.52,64.81,64.97,82.16,74.81,98.88,0.19,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,HTTPS,93.87,64.81,64.97,99.05,89.33,98.4,0.3,0.0,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,TCP,53.27,64.81,64.97,55.82,50.01,99.4,0.41,0.01,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,ICMP,52.21,64.81,64.97,54.22,50.34,96.58,0.94,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,TWAMP,65.43,64.81,64.97,69.43,61.98,96.86,0.53,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,UDP,45.54,64.81,64.97,48.22,43.26,98.32,0.04,0.01,Communication
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,HTTP,68.3,65.13,64.97,71.26,64.28,97.84,0.41,0.01,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,HTTPS,92.89,65.13,64.97,98.1,88.04,96.63,0.4,0.01,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,TCP,86.67,65.13,64.97,90.21,81.64,99.22,0.13,0.01,Communication
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,ICMP,63.49,65.13,64.97,67.17,59.63,98.05,0.96,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,TWAMP,56.18,65.13,64.97,59.37,54.12,96.16,0.8,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,UDP,23.25,65.13,64.97,25.1,22.23,96.24,0.82,0.0,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,HTTP,66.81,61.54,61.87,70.52,63.19,97.81,0.44,0.01,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,HTTPS,80.65,61.54,61.87,85.39,77.4,97.06,0.02,0.01,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,TCP,63.56,61.54,61.87,66.38,60.29,98.27,0.45,0.01,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,ICMP,64.53,61.54,61.87,68.36,61.96,99.3,0.01,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,TWAMP,68.62,61.54,61.87,72.45,64.47,99.7,0.85,0.02,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,UDP,25.06,61.54,61.87,27.08,24.49,96.97,0.2,0.0,Multimedia Streaming
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,HTTP,68.54,62.21,61.87,72.41,65.69,96.88,0.97,0.01,Communication
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,HTTPS,83.41,62.21,61.87,88.19,79.57,95.11,0.98,0.0,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,TCP,84.98,62.21,61.87,89.39,80.92,96.74,0.05,0.04,Communication
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,ICMP,56.05,62.21,61.87,58.38,53.03,97.62,0.53,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,TWAMP,45.87,62.21,61.87,48.92,43.7,99.09,0.09,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,UDP,34.38,62.21,61.87,35.75,32.96,99.97,0.13,0.0,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,HTTP,72.91,63.29,62.68,76.94,68.7,95.53,0.55,0.0,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,HTTPS,94.67,63.29,62.68,98.7,90.21,95.91,0.79,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,TCP,56.72,63.29,62.68,59.91,53.2,98.53,0.1,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,ICMP,51.76,63.29,62.68,54.35,48.78,98.48,0.13,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,TWAMP,66.71,63.29,62.68,69.96,64.07,99.4,0.44,0.01,Network Management
